Epoch,Training Accuracy,Generalization Accuracy
0,0.3333333333333333,3.0
1,7.5,2.7083333333333335
2,10.666666666666666,18.041666666666668
3,29.5,34.833333333333336
4,48.5,48.291666666666664
5,64.83333333333333,65.375
6,77.33333333333333,73.91666666666667
7,85.83333333333333,82.70833333333333
8,90.16666666666667,86.95833333333333
9,92.66666666666667,87.58333333333333
10,94.0,89.95833333333333
11,96.0,90.79166666666667
12,96.83333333333333,91.20833333333333
13,97.5,91.875
14,97.66666666666667,91.875
15,97.66666666666667,92.29166666666667
16,97.83333333333333,92.375
17,97.83333333333333,92.79166666666667
18,97.83333333333333,92.66666666666667
19,97.83333333333333,92.875
20,97.83333333333333,93.0
21,97.83333333333333,93.04166666666667
22,98.16666666666667,94.70833333333333
23,98.83333333333333,94.83333333333333
24,99.0,94.875
25,99.0,94.95833333333333
26,99.0,94.95833333333333
27,99.0,95.04166666666667
28,99.0,95.20833333333333
29,99.0,95.16666666666667
30,99.0,95.16666666666667
31,99.0,95.20833333333333
32,99.0,95.25
33,99.0,95.29166666666667
34,99.0,95.33333333333333
35,99.0,95.45833333333333
36,99.0,95.54166666666667
37,99.0,97.04166666666667
38,100.0,97.375
39,100.0,97.33333333333333
