Epoch,Training Accuracy,Generalization Accuracy
0,2.8333333333333335,14.5
1,35.375,55.833333333333336
2,72.0,78.5
3,81.04166666666667,77.5
4,83.125,78.0
5,84.41666666666667,83.5
6,85.16666666666667,83.0
7,85.83333333333333,83.0
8,85.95833333333333,83.66666666666667
9,86.375,83.83333333333333
10,87.54166666666667,84.5
11,89.54166666666667,87.83333333333333
12,94.70833333333333,96.16666666666667
13,98.79166666666667,97.16666666666667
14,99.375,98.16666666666667
15,99.5,98.33333333333333
16,99.83333333333333,98.66666666666667
17,99.875,98.83333333333333
18,99.95833333333333,98.33333333333333
19,99.91666666666667,98.66666666666667
