Epoch,Training Accuracy,Generalization Accuracy
0,5.375,32.5
1,73.54166666666667,92.66666666666667
2,92.79166666666667,94.0
3,94.54166666666667,96.0
4,95.625,97.0
5,96.45833333333333,97.0
6,98.54166666666667,99.0
7,99.54166666666667,99.16666666666667
8,99.79166666666667,99.0
9,99.875,99.0
10,99.875,99.16666666666667
11,99.91666666666667,99.0
12,100.0,99.16666666666667
13,100.0,99.16666666666667
14,100.0,99.16666666666667
15,100.0,99.16666666666667
16,100.0,99.16666666666667
17,100.0,99.16666666666667
18,100.0,99.16666666666667
19,100.0,99.16666666666667
20,100.0,99.16666666666667
21,100.0,99.16666666666667
22,100.0,99.16666666666667
23,100.0,99.16666666666667
24,100.0,99.16666666666667
25,100.0,99.16666666666667
26,100.0,99.16666666666667
27,100.0,99.16666666666667
28,100.0,99.16666666666667
29,100.0,99.16666666666667
