Epoch,Training Accuracy,Generalization Accuracy
0,2.75,12.333333333333334
1,55.125,80.83333333333333
2,91.16666666666667,94.33333333333333
3,95.95833333333333,96.5
4,97.0,97.5
5,97.79166666666667,98.5
6,98.70833333333333,98.5
7,99.375,99.33333333333333
8,99.83333333333333,99.16666666666667
9,99.91666666666667,99.16666666666667
10,99.91666666666667,99.16666666666667
11,100.0,99.33333333333333
12,100.0,99.33333333333333
13,100.0,99.33333333333333
14,100.0,99.33333333333333
15,100.0,99.33333333333333
16,100.0,99.33333333333333
17,100.0,99.33333333333333
18,100.0,99.33333333333333
19,100.0,99.33333333333333
