Epoch,Training Accuracy,Generalization Accuracy
0,7.125,27.833333333333332
1,68.45833333333333,85.66666666666667
2,92.79166666666667,92.66666666666667
3,95.125,93.83333333333333
4,97.41666666666667,97.83333333333333
5,98.45833333333333,96.5
6,99.33333333333333,96.83333333333333
7,99.45833333333333,98.5
8,99.875,98.33333333333333
9,99.875,98.5
10,99.95833333333333,98.66666666666667
11,100.0,98.5
12,100.0,98.66666666666667
13,100.0,98.66666666666667
14,100.0,98.66666666666667
15,100.0,98.66666666666667
16,100.0,98.66666666666667
17,100.0,98.66666666666667
18,100.0,98.66666666666667
19,100.0,98.66666666666667
