Epoch,Training Accuracy,Generalization Accuracy
0,0.6666666666666666,0.0
1,1.6666666666666667,1.7037037037037037
2,2.6666666666666665,6.518518518518518
3,10.0,7.296296296296297
4,16.333333333333332,18.14814814814815
5,26.666666666666668,29.03703703703704
6,39.666666666666664,31.0
7,45.0,42.370370370370374
8,56.666666666666664,49.22222222222222
9,63.333333333333336,52.07407407407408
10,67.0,58.14814814814816
11,72.0,62.888888888888886
12,77.0,68.74074074074073
13,78.66666666666667,70.44444444444444
14,82.66666666666667,72.81481481481481
15,84.33333333333333,75.8148148148148
16,86.66666666666667,75.33333333333331
17,87.33333333333333,78.59259259259258
18,89.33333333333333,81.33333333333333
19,91.66666666666667,82.6296296296296
