Epoch,Training Accuracy,Generalization Accuracy
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.0,0.0
6,0.0,0.0
7,0.0,0.0
8,0.0,0.0
9,0.0,0.0
10,0.0,0.0
11,0.0,0.0
12,0.0,0.0
13,0.0,0.0
14,0.0,0.0
15,0.0,0.0
16,0.0,0.0
17,0.0,0.0
18,0.0,0.0
19,0.0,0.0
20,0.0,0.0
21,0.0,0.0
22,0.0,0.0
23,0.0,0.0
24,0.0,0.0
25,0.0,0.0
26,0.0,0.0
27,0.0,0.0
28,0.0,0.0
29,0.0,0.0
30,0.0,0.0
31,0.0,0.0
32,0.0,0.0
33,0.0,0.0
34,0.0,0.0
35,0.0,0.0
36,0.0,0.0
37,0.0,0.0
38,0.0,0.0
39,0.0,0.0
40,0.0,0.0
41,0.0,0.0
42,0.0,0.0
43,0.0,0.0
44,0.0,0.0
45,0.0,0.0
46,0.0,0.0
47,0.6666666666666666,1.3333333333333333
48,3.0,1.5185185185185186
49,3.0,1.5185185185185186
50,3.0,1.5185185185185186
51,3.0,1.5185185185185186
52,3.0,1.5185185185185186
53,3.0,1.5185185185185186
54,3.0,1.5185185185185186
55,3.0,1.5185185185185186
56,3.0,1.5185185185185186
57,3.0,1.5185185185185186
58,3.0,1.5185185185185186
59,3.0,1.5185185185185186
60,3.0,1.5185185185185186
61,3.0,1.5185185185185186
62,3.0,1.5185185185185186
63,3.0,1.5185185185185186
64,3.0,1.5185185185185186
65,3.0,1.5185185185185186
66,3.0,1.5185185185185186
67,3.0,1.5185185185185186
68,3.0,1.5185185185185186
69,3.0,1.5185185185185186
70,3.0,1.5185185185185186
71,3.0,1.5185185185185186
72,3.0,1.5185185185185186
73,3.0,1.5185185185185186
74,3.0,1.5185185185185186
75,3.0,1.5185185185185186
76,3.0,1.5185185185185186
77,3.0,1.5185185185185186
78,3.0,1.5185185185185186
79,3.0,1.8518518518518519
80,3.0,2.037037037037037
81,3.3333333333333335,2.3703703703703707
82,4.333333333333333,2.074074074074074
83,4.333333333333333,2.4444444444444446
84,4.666666666666667,2.518518518518519
85,4.333333333333333,2.8518518518518525
86,5.0,2.9629629629629632
87,5.333333333333333,3.037037037037037
88,5.0,2.8148148148148153
89,5.0,2.777777777777778
90,5.0,3.185185185185185
91,5.333333333333333,3.4074074074074074
92,6.0,3.444444444444444
93,5.333333333333333,3.407407407407407
94,6.333333333333333,3.3333333333333335
95,5.666666666666667,3.481481481481482
96,6.333333333333333,3.7037037037037037
97,6.333333333333333,3.5925925925925926
98,6.333333333333333,3.4444444444444446
99,6.333333333333333,3.555555555555556
100,6.333333333333333,3.8148148148148153
101,6.333333333333333,3.555555555555556
102,6.0,3.8518518518518525
103,7.0,3.518518518518519
104,7.333333333333333,3.814814814814815
105,6.0,4.074074074074074
106,7.666666666666667,3.8148148148148153
107,6.666666666666667,3.8148148148148153
108,6.333333333333333,4.148148148148148
109,7.0,3.9259259259259256
110,7.0,4.0
111,7.333333333333333,4.111111111111112
112,7.333333333333333,4.481481481481482
113,7.666666666666667,4.444444444444445
114,7.333333333333333,4.925925925925926
115,8.333333333333334,4.851851851851852
116,8.0,5.074074074074074
117,9.666666666666666,5.074074074074074
118,9.333333333333334,5.222222222222222
119,9.333333333333334,5.444444444444445
120,9.0,5.851851851851851
121,9.333333333333334,5.740740740740741
122,9.666666666666666,6.0
123,10.0,6.074074074074074
124,9.666666666666666,6.185185185185185
125,10.666666666666666,6.296296296296296
126,11.0,6.185185185185185
127,11.333333333333334,6.296296296296296
128,10.666666666666666,6.4074074074074066
129,11.0,6.481481481481482
130,11.333333333333334,6.407407407407407
131,11.666666666666666,6.481481481481482
132,11.666666666666666,6.629629629629631
133,11.666666666666666,6.703703703703703
134,12.0,6.814814814814815
135,11.666666666666666,6.8888888888888875
136,12.0,7.0740740740740735
137,12.333333333333334,7.037037037037038
138,12.666666666666666,8.074074074074074
139,12.666666666666666,7.666666666666667
140,13.333333333333334,7.592592592592593
141,12.666666666666666,8.481481481481483
142,14.666666666666666,7.518518518518518
143,13.333333333333334,8.185185185185185
144,13.0,8.925925925925926
145,14.0,8.074074074074074
146,13.666666666666666,8.962962962962962
147,14.0,9.037037037037036
148,15.0,8.962962962962964
149,15.333333333333334,9.592592592592592
150,16.0,8.962962962962962
151,15.333333333333334,9.444444444444446
152,15.333333333333334,10.370370370370372
153,15.666666666666666,10.62962962962963
154,16.0,10.777777777777777
155,16.0,11.14814814814815
156,17.666666666666668,10.407407407407408
157,17.0,11.03703703703704
158,17.0,11.666666666666666
159,19.0,11.703703703703704
160,17.666666666666668,13.074074074074074
161,19.0,11.148148148148149
162,18.666666666666668,13.77777777777778
163,21.0,13.62962962962963
164,20.0,13.037037037037038
165,20.333333333333332,13.074074074074076
166,20.333333333333332,13.259259259259263
167,20.0,14.555555555555559
168,22.333333333333332,14.111111111111112
169,19.666666666666668,15.666666666666668
170,20.666666666666668,16.185185185185183
171,22.0,16.11111111111111
172,22.333333333333332,14.444444444444446
173,21.666666666666668,15.925925925925926
174,22.666666666666668,14.814814814814815
175,23.0,15.444444444444446
176,22.333333333333332,15.666666666666666
177,22.666666666666668,16.296296296296294
178,23.666666666666668,15.666666666666668
179,22.0,16.296296296296298
180,23.666666666666668,16.22222222222222
181,25.0,14.703703703703706
182,22.333333333333332,16.88888888888889
183,25.0,16.88888888888889
184,24.333333333333332,16.037037037037035
185,25.666666666666668,16.40740740740741
186,25.0,17.14814814814815
187,25.0,17.14814814814815
188,26.0,16.074074074074073
189,25.333333333333332,17.518518518518523
190,25.0,18.14814814814815
191,25.333333333333332,18.25925925925926
192,25.333333333333332,19.185185185185187
193,26.333333333333332,18.666666666666668
194,26.333333333333332,18.370370370370374
195,27.333333333333332,19.296296296296298
196,27.666666666666668,18.66666666666667
197,28.333333333333332,18.5925925925926
198,27.333333333333332,20.14814814814815
199,29.0,19.40740740740741
200,27.666666666666668,20.25925925925926
201,29.0,20.000000000000004
202,30.333333333333332,19.296296296296298
203,30.0,19.77777777777778
204,29.666666666666668,20.07407407407408
205,28.666666666666668,20.851851851851855
206,31.0,20.296296296296294
207,30.666666666666668,20.74074074074074
208,30.666666666666668,21.14814814814815
209,31.333333333333332,20.96296296296297
210,30.0,21.22222222222222
211,30.0,21.592592592592595
212,31.333333333333332,21.48148148148148
213,31.333333333333332,21.25925925925926
214,31.0,21.148148148148152
215,30.333333333333332,21.48148148148148
216,31.0,21.40740740740741
217,30.666666666666668,21.22222222222223
218,31.333333333333332,20.74074074074074
219,30.666666666666668,21.814814814814813
220,31.0,21.777777777777775
221,31.333333333333332,21.444444444444443
222,32.333333333333336,21.592592592592595
223,31.666666666666668,21.666666666666668
224,31.666666666666668,21.259259259259256
225,30.666666666666668,22.407407407407405
226,32.333333333333336,22.296296296296294
227,31.666666666666668,22.592592592592595
228,32.333333333333336,22.555555555555554
229,33.0,22.444444444444446
230,32.333333333333336,22.814814814814817
231,33.0,22.777777777777775
232,32.666666666666664,22.88888888888889
233,33.333333333333336,22.814814814814817
234,33.666666666666664,22.7037037037037
235,33.333333333333336,22.888888888888882
236,33.0,22.85185185185185
237,33.0,23.481481481481477
238,33.0,22.59259259259259
239,33.666666666666664,22.92592592592592
240,32.666666666666664,23.51851851851852
241,33.333333333333336,23.296296296296298
242,34.0,22.96296296296296
243,33.0,23.296296296296298
244,34.666666666666664,22.18518518518518
245,32.666666666666664,23.14814814814815
246,33.666666666666664,22.59259259259259
247,33.333333333333336,23.333333333333332
248,33.333333333333336,23.259259259259256
249,33.333333333333336,23.555555555555557
250,34.0,23.33333333333333
251,34.0,22.740740740740737
252,32.666666666666664,23.51851851851852
253,33.0,23.666666666666664
254,34.0,23.62962962962963
255,34.333333333333336,24.037037037037035
256,34.0,24.51851851851852
257,34.333333333333336,23.703703703703702
258,33.666666666666664,23.88888888888889
259,33.0,24.518518518518515
260,34.666666666666664,24.925925925925924
261,35.0,23.925925925925924
262,33.333333333333336,24.370370370370367
263,33.666666666666664,24.074074074074073
264,33.666666666666664,25.14814814814815
265,34.666666666666664,24.962962962962965
266,35.0,25.03703703703703
267,35.0,24.44444444444444
268,34.666666666666664,25.4074074074074
269,35.0,24.999999999999996
270,34.666666666666664,24.37037037037037
271,34.333333333333336,24.777777777777775
272,34.666666666666664,24.74074074074074
273,34.333333333333336,24.48148148148148
274,35.333333333333336,24.888888888888882
275,34.666666666666664,25.333333333333332
