Epoch,Training Accuracy,Generalization Accuracy
0,6.25,33.166666666666664
1,72.33333333333333,91.83333333333333
2,94.25,97.0
3,96.83333333333333,95.66666666666667
4,98.08333333333333,98.0
5,98.91666666666667,98.5
6,99.5,98.5
7,99.79166666666667,98.16666666666667
8,99.95833333333333,98.33333333333333
9,100.0,98.66666666666667
10,100.0,98.5
11,100.0,98.5
12,100.0,98.66666666666667
13,100.0,98.66666666666667
14,100.0,98.66666666666667
15,100.0,98.5
16,100.0,98.5
17,100.0,98.66666666666667
18,100.0,98.66666666666667
19,100.0,98.5
