Epoch,Training Accuracy,Generalization Accuracy
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.0,0.0
6,0.0,0.0
7,0.0,0.0
8,0.0,0.0
9,0.0,0.0
10,0.0,0.0
11,0.0,0.0
12,0.0,0.0
13,0.0,0.0
14,0.0,0.0
15,0.0,0.0
16,0.0,0.0
17,0.0,0.0
18,0.0,0.0
19,0.0,0.0
20,0.0,0.0
21,0.0,0.0
22,0.0,0.0
23,0.0,0.0
24,0.0,0.0
25,0.0,0.0
26,0.0,0.0
27,0.0,0.0
28,0.0,0.0
29,0.0,0.0
30,0.0,0.22222222222222224
31,1.6666666666666667,1.074074074074074
32,1.3333333333333333,1.5185185185185186
33,2.3333333333333335,1.5555555555555556
34,2.6666666666666665,1.5555555555555556
35,2.6666666666666665,1.5555555555555556
36,2.6666666666666665,1.5555555555555556
37,2.6666666666666665,1.5555555555555556
38,3.0,1.6666666666666667
39,3.3333333333333335,1.8148148148148147
40,4.0,2.0370370370370368
41,3.6666666666666665,2.148148148148148
42,4.0,2.444444444444444
43,4.0,2.5925925925925926
44,4.333333333333333,2.962962962962963
45,5.666666666666667,3.814814814814815
46,9.0,4.740740740740741
47,8.666666666666666,5.0
48,9.0,5.074074074074074
49,9.0,5.185185185185185
50,9.666666666666666,5.259259259259259
51,9.0,5.333333333333333
52,9.333333333333334,5.333333333333333
53,10.0,5.481481481481481
54,9.666666666666666,5.888888888888888
55,11.0,6.111111111111112
56,11.666666666666666,6.62962962962963
57,12.333333333333334,7.259259259259259
58,13.0,7.851851851851851
59,13.0,8.481481481481481
60,14.0,9.074074074074074
61,16.0,9.629629629629628
62,16.666666666666668,10.25925925925926
63,17.0,10.74074074074074
64,18.0,11.25925925925926
65,19.0,11.51851851851852
66,19.333333333333332,11.777777777777777
67,19.0,12.0
68,19.333333333333332,12.185185185185185
69,20.333333333333332,12.333333333333334
70,20.0,12.444444444444446
71,20.333333333333332,12.74074074074074
72,20.333333333333332,12.851851851851853
73,20.666666666666668,12.962962962962964
74,20.333333333333332,13.037037037037038
75,20.666666666666668,13.185185185185187
76,20.333333333333332,13.370370370370372
77,21.333333333333332,13.592592592592593
78,21.666666666666668,13.925925925925926
79,21.333333333333332,14.333333333333334
80,21.666666666666668,14.48148148148148
81,22.0,14.666666666666666
82,22.0,14.925925925925926
83,22.0,15.185185185185185
84,22.0,15.444444444444446
85,22.666666666666668,15.74074074074074
86,23.0,16.185185185185183
87,23.333333333333332,16.666666666666664
88,23.666666666666668,17.48148148148148
89,25.333333333333332,17.925925925925927
90,25.666666666666668,18.259259259259256
91,26.333333333333332,18.666666666666668
92,26.333333333333332,18.925925925925927
93,27.666666666666668,19.074074074074076
94,28.0,19.333333333333332
95,28.0,19.555555555555557
96,29.0,19.740740740740744
97,29.333333333333332,20.037037037037035
98,29.333333333333332,20.259259259259256
99,30.666666666666668,20.481481481481477
100,31.0,20.88888888888889
101,30.666666666666668,21.22222222222222
102,31.0,21.92592592592592
103,31.0,22.444444444444443
104,31.0,22.962962962962955
105,31.666666666666668,23.18518518518518
106,32.666666666666664,23.518518518518515
107,32.666666666666664,23.74074074074074
108,33.666666666666664,24.18518518518518
109,34.666666666666664,24.481481481481477
110,34.666666666666664,24.703703703703706
111,36.0,25.0
112,35.666666666666664,25.51851851851852
113,36.0,25.740740740740744
114,36.333333333333336,25.88888888888889
115,37.0,25.96296296296297
116,37.0,26.259259259259256
117,36.666666666666664,26.518518518518515
118,37.0,26.888888888888893
119,37.0,27.111111111111118
120,38.0,27.333333333333332
121,38.0,27.629629629629633
122,38.333333333333336,27.92592592592593
123,38.666666666666664,27.96296296296297
124,39.333333333333336,27.96296296296297
125,39.333333333333336,28.111111111111118
126,40.0,28.296296296296298
127,39.666666666666664,28.703703703703702
128,40.333333333333336,28.814814814814817
129,40.333333333333336,28.85185185185185
130,40.666666666666664,29.037037037037035
131,40.333333333333336,29.22222222222222
132,40.666666666666664,29.481481481481485
133,41.0,29.518518518518523
134,41.333333333333336,29.5925925925926
135,41.333333333333336,29.66666666666667
136,41.666666666666664,29.85185185185185
137,41.666666666666664,30.000000000000004
138,41.666666666666664,30.296296296296298
139,41.333333333333336,30.407407407407405
140,41.666666666666664,30.555555555555554
141,41.666666666666664,30.851851851851848
142,42.0,31.07407407407408
143,41.666666666666664,31.14814814814815
144,42.0,31.444444444444443
145,42.0,31.777777777777775
146,42.333333333333336,31.925925925925927
147,42.333333333333336,32.111111111111114
148,42.333333333333336,32.333333333333336
149,42.333333333333336,32.51851851851852
150,43.0,32.7037037037037
151,43.0,33.14814814814815
152,43.666666666666664,33.40740740740741
153,44.0,33.592592592592595
154,44.0,33.77777777777778
155,44.333333333333336,34.07407407407408
156,44.0,34.370370370370374
157,45.0,34.5925925925926
158,44.333333333333336,34.74074074074075
159,44.666666666666664,34.96296296296296
160,45.666666666666664,35.111111111111114
161,46.0,35.18518518518519
162,46.666666666666664,35.40740740740741
163,46.0,35.85185185185185
164,46.0,36.2962962962963
165,46.666666666666664,36.81481481481482
166,47.0,36.96296296296296
167,47.333333333333336,37.11111111111111
168,47.666666666666664,37.333333333333336
169,48.0,37.40740740740741
170,48.333333333333336,37.70370370370371
171,49.0,37.777777777777786
172,49.333333333333336,37.96296296296296
173,49.0,38.111111111111114
174,49.0,38.18518518518519
175,49.333333333333336,38.18518518518519
176,49.333333333333336,38.18518518518519
177,49.333333333333336,38.333333333333336
178,49.333333333333336,38.333333333333336
179,49.333333333333336,38.407407407407405
180,49.333333333333336,38.44444444444444
181,49.333333333333336,38.77777777777778
182,49.666666666666664,38.99999999999999
183,49.666666666666664,39.25925925925926
184,50.0,39.48148148148149
185,50.0,39.55555555555556
186,50.0,39.74074074074075
187,50.333333333333336,40.00000000000001
188,50.333333333333336,40.037037037037045
189,50.333333333333336,40.111111111111114
190,51.0,40.25925925925926
191,51.0,40.33333333333334
192,51.333333333333336,40.44444444444445
193,51.333333333333336,40.481481481481495
194,51.333333333333336,40.555555555555564
195,51.333333333333336,40.555555555555564
196,51.333333333333336,40.5925925925926
197,51.666666666666664,40.66666666666667
198,51.666666666666664,40.66666666666667
199,51.666666666666664,40.70370370370371
200,51.666666666666664,40.70370370370371
201,51.666666666666664,40.70370370370371
202,51.666666666666664,40.74074074074075
203,51.666666666666664,40.74074074074075
204,52.0,40.74074074074075
205,52.0,40.777777777777786
206,52.0,40.777777777777786
207,52.0,40.851851851851855
208,52.0,40.92592592592594
209,52.0,40.88888888888889
210,52.0,40.92592592592594
211,52.333333333333336,40.88888888888889
212,52.333333333333336,40.92592592592594
213,52.0,40.92592592592594
214,52.0,40.92592592592594
215,52.333333333333336,40.92592592592594
216,52.333333333333336,40.92592592592594
217,52.666666666666664,40.92592592592593
218,52.0,40.92592592592593
219,52.333333333333336,40.92592592592593
220,52.666666666666664,40.96296296296296
221,52.666666666666664,41.00000000000001
222,52.666666666666664,41.03703703703704
223,52.666666666666664,41.03703703703704
224,52.666666666666664,41.03703703703704
225,52.666666666666664,41.03703703703704
226,52.666666666666664,41.03703703703704
227,52.666666666666664,41.03703703703704
228,52.666666666666664,41.07407407407408
229,52.666666666666664,41.03703703703704
230,52.666666666666664,41.03703703703704
231,52.666666666666664,41.111111111111114
232,52.666666666666664,41.11111111111111
233,52.666666666666664,41.07407407407407
234,52.666666666666664,41.148148148148145
235,52.666666666666664,41.148148148148145
236,52.666666666666664,41.148148148148145
237,52.666666666666664,41.148148148148145
238,52.666666666666664,41.148148148148145
239,52.666666666666664,41.148148148148145
240,52.666666666666664,41.148148148148145
241,52.666666666666664,41.148148148148145
242,52.666666666666664,41.148148148148145
243,52.666666666666664,41.148148148148145
244,52.666666666666664,41.11111111111111
245,52.666666666666664,41.11111111111111
246,52.666666666666664,41.11111111111111
247,52.666666666666664,41.148148148148145
248,52.666666666666664,41.148148148148145
249,52.666666666666664,41.148148148148145
250,52.666666666666664,41.148148148148145
251,52.666666666666664,41.148148148148145
252,52.666666666666664,41.148148148148145
253,52.666666666666664,41.148148148148145
254,52.666666666666664,41.148148148148145
255,52.666666666666664,41.148148148148145
256,52.666666666666664,41.148148148148145
257,52.666666666666664,41.148148148148145
258,52.666666666666664,41.18518518518518
259,52.666666666666664,41.18518518518518
260,52.666666666666664,41.18518518518518
261,52.666666666666664,41.18518518518518
262,52.666666666666664,41.18518518518518
263,52.666666666666664,41.18518518518518
264,52.666666666666664,41.18518518518518
