Epoch,Training Accuracy,Generalization Accuracy
0,5.375,27.333333333333332
1,70.70833333333333,89.16666666666667
2,93.16666666666667,93.0
3,95.33333333333333,95.16666666666667
4,96.25,94.83333333333333
5,96.79166666666667,96.16666666666667
6,97.625,95.33333333333333
7,98.91666666666667,97.66666666666667
8,99.91666666666667,98.16666666666667
9,99.95833333333333,98.66666666666667
10,99.95833333333333,98.83333333333333
11,99.95833333333333,98.66666666666667
12,100.0,98.83333333333333
13,100.0,98.83333333333333
14,100.0,98.83333333333333
15,100.0,98.83333333333333
16,100.0,98.66666666666667
17,100.0,98.83333333333333
18,100.0,99.0
19,100.0,99.0
